,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,sslateingress,POST,/cart,66719a24dd954be412968fc62d19f431,12968fc62d19f431,nan,1725228828684.0,1725228828693.0,9.0,0,0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:78|
1,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,66719a24dd954be412968fc62d19f431,ddf220c8978814fe,8794d7a9358e0635,1725228828686.0,1725228828687.0,1.0,0,0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:77|
2,us-west-1,frontend,POST,/cart,66719a24dd954be412968fc62d19f431,8794d7a9358e0635,12968fc62d19f431,1725228828685.0,1725228828692.0,7.0,0,0,-1,frontend@POST@/cart:0|,frontend@POST@/cart:77|
3,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,66719a24dd954be412968fc62d19f431,45d2ccb49da52622,8794d7a9358e0635,1725228828689.0,1725228828691.0,2.0,0,0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:77|
4,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,bba36c1d3a089fc40339d69d8dc082ce,b6397a76f74a6a83,8968602d420936e2,1725228832142.0,1725228832143.0,1.0,0,0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:94|
5,us-west-1,frontend,POST,/cart,bba36c1d3a089fc40339d69d8dc082ce,8968602d420936e2,0339d69d8dc082ce,1725228832140.0,1725228832147.0,7.0,0,0,-1,frontend@POST@/cart:0|,frontend@POST@/cart:94|
6,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,bba36c1d3a089fc40339d69d8dc082ce,f7a1df5e7cf2baa4,8968602d420936e2,1725228832144.0,1725228832146.0,2.0,0,0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:94|
7,us-west-1,sslateingress,POST,/cart,bba36c1d3a089fc40339d69d8dc082ce,0339d69d8dc082ce,nan,1725228832139.0,1725228832148.0,9.0,0,0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:94|
8,us-west-1,sslateingress,POST,/cart,65dc71f5fb90879c45590790a92532d2,45590790a92532d2,nan,1725228841536.0,1725228841545.0,9.0,0,0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:88|
9,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,65dc71f5fb90879c45590790a92532d2,a27c726cb8f93cf0,635e38b5e267ff8a,1725228841539.0,1725228841540.0,1.0,0,0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:88|
10,us-west-1,frontend,POST,/cart,65dc71f5fb90879c45590790a92532d2,635e38b5e267ff8a,45590790a92532d2,1725228841538.0,1725228841544.0,6.0,0,0,-1,frontend@POST@/cart:0|,frontend@POST@/cart:88|
11,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,65dc71f5fb90879c45590790a92532d2,aa731cee6ef2d485,635e38b5e267ff8a,1725228841541.0,1725228841543.0,2.0,0,0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:88|
12,us-west-1,sslateingress,POST,/cart,d097ecbc0cbca3999d88f6ea6b991704,9d88f6ea6b991704,nan,1725228843748.0,1725228843755.0,7.0,0,0,-1,sslateingress@POST@/cart:0|,sslateingress@POST@/cart:76|
13,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,d097ecbc0cbca3999d88f6ea6b991704,7195d2337e593903,2416326d2d47d851,1725228843750.0,1725228843751.0,1.0,0,0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:0|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:76|
14,us-west-1,frontend,POST,/cart,d097ecbc0cbca3999d88f6ea6b991704,2416326d2d47d851,9d88f6ea6b991704,1725228843749.0,1725228843754.0,5.0,0,0,-1,frontend@POST@/cart:0|,frontend@POST@/cart:76|
15,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,d097ecbc0cbca3999d88f6ea6b991704,c9cdf586789e235c,2416326d2d47d851,1725228843752.0,1725228843754.0,2.0,0,0,-1,cartservice@POST@/hipstershop.CartService/AddItem:0|,cartservice@POST@/hipstershop.CartService/AddItem:76|
