,counter,src_svc,dst_svc,src_cid,dst_cid,flow,weight,total
0,1,frontend,a,us-east-1,us-east-1,458,1.0,458
1,1,frontend,a,us-west-1,us-west-1,288,1.0,288
2,1,b,c,us-east-1,us-west-1,-1,1.0,-1
3,1,a,b,us-east-1,us-east-1,-1,1.0,-1
4,1,b,c,us-west-1,us-west-1,-1,1.0,-1
5,1,a,b,us-west-1,us-west-1,-1,1.0,-1
0,2,frontend,a,us-east-1,us-east-1,297,1.0,297
1,2,frontend,a,us-west-1,us-west-1,600,0.8888888888888888,675
2,2,frontend,a,us-west-1,us-east-1,75,0.1111111111111111,675
3,2,b,c,us-east-1,us-west-1,-1,1.0,-1
4,2,a,b,us-east-1,us-east-1,-1,1.0,-1
5,2,b,c,us-west-1,us-west-1,-1,1.0,-1
6,2,a,b,us-west-1,us-west-1,-1,1.0,-1
0,3,frontend,a,us-east-1,us-east-1,317,1.0,317
1,3,frontend,a,us-west-1,us-west-1,104,1.0,104
2,3,b,c,us-east-1,us-west-1,-1,1.0,-1
3,3,a,b,us-east-1,us-east-1,-1,1.0,-1
4,3,b,c,us-west-1,us-west-1,-1,1.0,-1
5,3,a,b,us-west-1,us-west-1,-1,1.0,-1
0,4,frontend,a,us-east-1,us-east-1,287,1.0,287
1,4,frontend,a,us-west-1,us-west-1,437,1.0,437
2,4,b,c,us-east-1,us-west-1,-1,1.0,-1
3,4,a,b,us-east-1,us-east-1,-1,1.0,-1
4,4,b,c,us-west-1,us-west-1,-1,1.0,-1
5,4,a,b,us-west-1,us-west-1,-1,1.0,-1
0,6,frontend,a,us-east-1,us-east-1,544,1.0,544
1,6,frontend,a,us-west-1,us-west-1,587,1.0,587
2,6,b,c,us-east-1,us-west-1,-1,1.0,-1
3,6,a,b,us-east-1,us-east-1,-1,1.0,-1
4,6,b,c,us-west-1,us-west-1,-1,1.0,-1
5,6,a,b,us-west-1,us-west-1,-1,1.0,-1
0,7,frontend,a,us-east-1,us-east-1,705,1.0,705
1,7,frontend,a,us-west-1,us-west-1,701,1.0,701
2,7,b,c,us-east-1,us-west-1,-1,1.0,-1
3,7,a,b,us-east-1,us-east-1,-1,1.0,-1
4,7,b,c,us-west-1,us-west-1,-1,1.0,-1
5,7,a,b,us-west-1,us-west-1,-1,1.0,-1
0,8,frontend,a,us-east-1,us-east-1,712,1.0,712
1,8,frontend,a,us-west-1,us-west-1,705,1.0,705
2,8,b,c,us-east-1,us-west-1,-1,1.0,-1
3,8,a,b,us-east-1,us-east-1,-1,1.0,-1
4,8,b,c,us-west-1,us-west-1,-1,1.0,-1
5,8,a,b,us-west-1,us-west-1,-1,1.0,-1
0,11,frontend,a,us-east-1,us-east-1,602,1.0,602
1,11,frontend,a,us-west-1,us-west-1,645,0.9728506787330317,663
2,11,frontend,a,us-west-1,us-east-1,18,0.027149321266968326,663
3,11,b,c,us-east-1,us-west-1,-1,1.0,-1
4,11,a,b,us-east-1,us-east-1,-1,1.0,-1
5,11,b,c,us-west-1,us-west-1,-1,1.0,-1
6,11,a,b,us-west-1,us-west-1,-1,1.0,-1
0,12,frontend,a,us-east-1,us-east-1,600,1.0,600
1,12,frontend,a,us-west-1,us-west-1,689,0.9374149659863945,735
2,12,frontend,a,us-west-1,us-east-1,46,0.06258503401360545,735
3,12,b,c,us-east-1,us-west-1,-1,1.0,-1
4,12,a,b,us-east-1,us-east-1,-1,1.0,-1
5,12,b,c,us-west-1,us-west-1,-1,1.0,-1
6,12,a,b,us-west-1,us-west-1,-1,1.0,-1
0,13,frontend,a,us-east-1,us-east-1,600,0.8995502248875562,667
1,13,frontend,a,us-east-1,us-west-1,67,0.10044977511244378,667
2,13,frontend,a,us-west-1,us-west-1,498,1.0,498
3,13,b,c,us-east-1,us-west-1,-1,1.0,-1
4,13,a,b,us-east-1,us-east-1,-1,1.0,-1
5,13,b,c,us-west-1,us-west-1,-1,1.0,-1
6,13,a,b,us-west-1,us-west-1,-1,1.0,-1
0,15,frontend,a,us-east-1,us-east-1,537,1.0,537
1,15,frontend,a,us-west-1,us-west-1,689,1.0,689
