,counter,src_svc,dst_svc,src_cid,dst_cid,flow,weight,total
0,1,frontend,a,us-west-1,us-west-1,222,1.0,222
1,1,frontend,a,us-east-1,us-east-1,400,0.9501187648456056,421
2,1,frontend,a,us-east-1,us-west-1,21,0.0498812351543943,421
3,1,b,c,us-west-1,us-west-1,-1,1.0,-1
4,1,a,b,us-west-1,us-west-1,-1,1.0,-1
5,1,b,c,us-east-1,us-west-1,-1,1.0,-1
6,1,a,b,us-east-1,us-east-1,-1,1.0,-1
0,2,frontend,a,us-west-1,us-west-1,201,1.0,201
1,2,frontend,a,us-east-1,us-east-1,400,0.8810572687224669,454
2,2,frontend,a,us-east-1,us-west-1,54,0.11894273127753303,454
3,2,b,c,us-west-1,us-west-1,-1,1.0,-1
4,2,a,b,us-west-1,us-west-1,-1,1.0,-1
5,2,b,c,us-east-1,us-west-1,-1,1.0,-1
6,2,a,b,us-east-1,us-east-1,-1,1.0,-1
0,3,frontend,a,us-west-1,us-west-1,174,1.0,174
1,3,frontend,a,us-east-1,us-east-1,400,0.954653937947494,419
2,3,frontend,a,us-east-1,us-west-1,19,0.045346062052505964,419
3,3,b,c,us-west-1,us-west-1,-1,1.0,-1
4,3,a,b,us-west-1,us-west-1,-1,1.0,-1
5,3,b,c,us-east-1,us-west-1,-1,1.0,-1
6,3,a,b,us-east-1,us-east-1,-1,1.0,-1
0,4,frontend,a,us-west-1,us-west-1,197,1.0,197
1,4,frontend,a,us-east-1,us-east-1,370,1.0,370
2,4,b,c,us-west-1,us-west-1,-1,1.0,-1
3,4,a,b,us-west-1,us-west-1,-1,1.0,-1
4,4,b,c,us-east-1,us-west-1,-1,1.0,-1
5,4,a,b,us-east-1,us-east-1,-1,1.0,-1
0,5,frontend,a,us-west-1,us-west-1,214,1.0,214
1,5,frontend,a,us-east-1,us-east-1,377,1.0,377
2,5,b,c,us-west-1,us-west-1,-1,1.0,-1
3,5,a,b,us-west-1,us-west-1,-1,1.0,-1
4,5,b,c,us-east-1,us-west-1,-1,1.0,-1
5,5,a,b,us-east-1,us-east-1,-1,1.0,-1
0,6,frontend,a,us-west-1,us-west-1,181,1.0,181
1,6,frontend,a,us-east-1,us-east-1,400,1.0,400
2,6,b,c,us-west-1,us-west-1,-1,1.0,-1
3,6,a,b,us-west-1,us-west-1,-1,1.0,-1
4,6,b,c,us-east-1,us-west-1,-1,1.0,-1
5,6,a,b,us-east-1,us-east-1,-1,1.0,-1
0,7,frontend,a,us-west-1,us-west-1,195,1.0,195
1,7,frontend,a,us-east-1,us-east-1,400,0.966183574879227,414
2,7,frontend,a,us-east-1,us-west-1,14,0.033816425120772944,414
3,7,b,c,us-west-1,us-west-1,-1,1.0,-1
4,7,a,b,us-west-1,us-west-1,-1,1.0,-1
5,7,b,c,us-east-1,us-west-1,-1,1.0,-1
6,7,a,b,us-east-1,us-east-1,-1,1.0,-1
0,8,frontend,a,us-west-1,us-west-1,178,1.0,178
1,8,frontend,a,us-east-1,us-east-1,391,1.0,391
2,8,b,c,us-west-1,us-west-1,-1,1.0,-1
3,8,a,b,us-west-1,us-west-1,-1,1.0,-1
4,8,b,c,us-east-1,us-west-1,-1,1.0,-1
5,8,a,b,us-east-1,us-east-1,-1,1.0,-1
0,9,frontend,a,us-west-1,us-west-1,207,1.0,207
1,9,frontend,a,us-east-1,us-east-1,386,1.0,386
2,9,b,c,us-west-1,us-west-1,-1,1.0,-1
3,9,a,b,us-west-1,us-west-1,-1,1.0,-1
4,9,b,c,us-east-1,us-west-1,-1,1.0,-1
5,9,a,b,us-east-1,us-east-1,-1,1.0,-1
0,10,frontend,a,us-west-1,us-west-1,221,1.0,221
1,10,frontend,a,us-east-1,us-east-1,392,1.0,392
2,10,b,c,us-west-1,us-west-1,-1,1.0,-1
3,10,a,b,us-west-1,us-west-1,-1,1.0,-1
4,10,b,c,us-east-1,us-west-1,-1,1.0,-1
5,10,a,b,us-east-1,us-east-1,-1,1.0,-1
0,11,frontend,a,us-west-1,us-west-1,199,1.0,199
1,11,frontend,a,us-east-1,us-east-1,400,0.9592326139088729,417
2,11,frontend,a,us-east-1,us-west-1,17,0.0407673860911271,417
3,11,b,c,us-west-1,us-west-1,-1,1.0,-1
4,11,a,b,us-west-1,us-west-1,-1,1.0,-1
5,11,b,c,us-east-1,us-west-1,-1,1.0,-1
6,11,a,b,us-east-1,us-east-1,-1,1.0,-1
0,12,frontend,a,us-west-1,us-west-1,179,1.0,179
1,12,frontend,a,us-east-1,us-east-1,399,1.0,399
2,12,b,c,us-west-1,us-west-1,-1,1.0,-1
3,12,a,b,us-west-1,us-west-1,-1,1.0,-1
4,12,b,c,us-east-1,us-west-1,-1,1.0,-1
5,12,a,b,us-east-1,us-east-1,-1,1.0,-1
0,13,frontend,a,us-west-1,us-west-1,220,1.0,220
1,13,frontend,a,us-east-1,us-east-1,400,0.9433962264150944,424
2,13,frontend,a,us-east-1,us-west-1,24,0.05660377358490566,424
3,13,b,c,us-west-1,us-west-1,-1,1.0,-1
4,13,a,b,us-west-1,us-west-1,-1,1.0,-1
5,13,b,c,us-east-1,us-west-1,-1,1.0,-1
6,13,a,b,us-east-1,us-east-1,-1,1.0,-1
0,14,frontend,a,us-west-1,us-west-1,186,1.0,186
1,14,frontend,a,us-east-1,us-east-1,375,1.0,375
2,14,b,c,us-west-1,us-west-1,-1,1.0,-1
3,14,a,b,us-west-1,us-west-1,-1,1.0,-1
4,14,b,c,us-east-1,us-west-1,-1,1.0,-1
5,14,a,b,us-east-1,us-east-1,-1,1.0,-1
0,15,frontend,a,us-west-1,us-west-1,187,1.0,187
1,15,frontend,a,us-east-1,us-east-1,368,1.0,368
2,15,b,c,us-west-1,us-west-1,-1,1.0,-1
3,15,a,b,us-west-1,us-west-1,-1,1.0,-1
4,15,b,c,us-east-1,us-west-1,-1,1.0,-1
5,15,a,b,us-east-1,us-east-1,-1,1.0,-1
0,16,frontend,a,us-west-1,us-west-1,194,1.0,194
1,16,frontend,a,us-east-1,us-east-1,389,1.0,389
